gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-Desikan_lh_volume_bankssts	Desikan	lh	temporal	bankssts
aparc-Desikan_lh_volume_caudalanteriorcingulate	Desikan	lh	cingulate	caudalanteriorcingulate
aparc-Desikan_lh_volume_caudalmiddlefrontal	Desikan	lh	frontal	caudalmiddlefrontal
aparc-Desikan_lh_volume_cuneus	Desikan	lh	occipital	cuneus
aparc-Desikan_lh_volume_entorhinal	Desikan	lh	insula	entorhinal
aparc-Desikan_lh_volume_fusiform	Desikan	lh	occipitotemporal	fusiform
aparc-Desikan_lh_volume_inferiorparietal	Desikan	lh	parietal	inferiorparietal
aparc-Desikan_lh_volume_inferiortemporal	Desikan	lh	temporal	inferiortemporal
aparc-Desikan_lh_volume_isthmuscingulate	Desikan	lh	cingulate	isthmuscingulate
aparc-Desikan_lh_volume_lateraloccipital	Desikan	lh	occipital	lateraloccipital
aparc-Desikan_lh_volume_lateralorbitofrontal	Desikan	lh	frontal	lateralorbitofrontal
aparc-Desikan_lh_volume_lingual	Desikan	lh	occipital	lingual
aparc-Desikan_lh_volume_medialorbitofrontal	Desikan	lh	frontal	medialorbitofrontal
aparc-Desikan_lh_volume_middletemporal	Desikan	lh	temporal	middletemporal
aparc-Desikan_lh_volume_parahippocampal	Desikan	lh	insula	parahippocampal
aparc-Desikan_lh_volume_paracentral	Desikan	lh	frontoparietal	paracentral
aparc-Desikan_lh_volume_parsopercularis	Desikan	lh	frontal	parsopercularis
aparc-Desikan_lh_volume_parsorbitalis	Desikan	lh	frontal	parsorbitalis
aparc-Desikan_lh_volume_parstriangularis	Desikan	lh	frontal	parstriangularis
aparc-Desikan_lh_volume_pericalcarine	Desikan	lh	occipital	pericalcarine
aparc-Desikan_lh_volume_postcentral	Desikan	lh	parietal	postcentral
aparc-Desikan_lh_volume_posteriorcingulate	Desikan	lh	cingulate	posteriorcingulate
aparc-Desikan_lh_volume_precentral	Desikan	lh	frontal	precentral
aparc-Desikan_lh_volume_precuneus	Desikan	lh	parietal	precuneus
aparc-Desikan_lh_volume_rostralanteriorcingulate	Desikan	lh	cingulate	rostralanteriorcingulate
aparc-Desikan_lh_volume_rostralmiddlefrontal	Desikan	lh	frontal	rostralmiddlefrontal
aparc-Desikan_lh_volume_superiorfrontal	Desikan	lh	frontal	superiorfrontal
aparc-Desikan_lh_volume_superiorparietal	Desikan	lh	parietal	superiorparietal
aparc-Desikan_lh_volume_superiortemporal	Desikan	lh	temporal	superiortemporal
aparc-Desikan_lh_volume_supramarginal	Desikan	lh	parietal	supramarginal
aparc-Desikan_lh_volume_frontalpole	Desikan	lh	frontal	frontalpole
aparc-Desikan_lh_volume_transversetemporal	Desikan	lh	temporal	transversetemporal
aparc-Desikan_lh_volume_insula	Desikan	lh	insula	insula
aparc-Desikan_rh_volume_bankssts	Desikan	rh	temporal	bankssts
aparc-Desikan_rh_volume_caudalanteriorcingulate	Desikan	rh	cingulate	caudalanteriorcingulate
aparc-Desikan_rh_volume_caudalmiddlefrontal	Desikan	rh	frontal	caudalmiddlefrontal
aparc-Desikan_rh_volume_cuneus	Desikan	rh	occipital	cuneus
aparc-Desikan_rh_volume_entorhinal	Desikan	rh	insula	entorhinal
